Team,Season,GP,W,L,T,OT,P,P%,SA,Goalie GA,EN GA,GA,Svs,Team Sv%,TOI,GAA,GA/GP,SO,ShotsFor,GF,Hits,BkS,GvA,TkA
Anaheim Ducks,20252026,26,16,9,--,1,33,0.635,758,79,5,84,674,0.889,1583:59,3.18,3.23,0,785,94,559,399,408,131
Boston Bruins,20252026,27,15,12,--,0,30,0.556,826,81,5,86,740,0.896,1641:40,3.14,3.19,0,721,81,710,455,446,127
Buffalo Sabres,20252026,26,11,11,--,4,26,0.5,782,78,9,87,695,0.889,1578:20,3.31,3.35,1,748,79,521,422,426,134
Calgary Flames,20252026,27,9,14,--,4,22,0.407,769,74,6,80,689,0.896,1643:52,2.92,2.96,1,789,63,619,420,464,116
Carolina Hurricanes,20252026,25,16,7,--,2,34,0.68,612,64,5,69,543,0.887,1524:08,2.72,2.76,2,831,85,470,284,426,136
Chicago Blackhawks,20252026,25,11,9,--,5,27,0.54,758,71,1,72,686,0.905,1517:59,2.85,2.88,1,629,80,459,325,448,135
Colorado Avalanche,20252026,25,18,1,--,6,42,0.84,659,52,0,52,607,0.921,1520:22,2.05,2.08,3,847,103,466,368,402,120
Columbus Blue Jackets,20252026,26,12,9,--,5,29,0.558,803,81,3,84,719,0.895,1595:39,3.16,3.23,0,789,75,486,367,426,124
Dallas Stars,20252026,26,17,5,--,4,38,0.731,712,66,3,69,643,0.903,1586:17,2.61,2.65,2,675,91,560,426,400,124
Detroit Red Wings,20252026,26,13,11,--,2,28,0.538,685,84,4,88,597,0.872,1581:31,3.34,3.38,0,788,75,518,419,447,108
Edmonton Oilers,20252026,26,11,10,--,5,27,0.519,691,87,6,93,598,0.865,1583:56,3.52,3.58,2,733,81,475,395,437,122
Florida Panthers,20252026,24,12,11,--,1,25,0.521,624,67,9,76,548,0.878,1450:00,3.14,3.17,2,698,74,654,331,358,95
Los Angeles Kings,20252026,25,12,6,--,7,31,0.62,651,63,2,65,586,0.9,1541:12,2.53,2.6,2,718,67,437,342,427,110
Minnesota Wild,20252026,26,14,7,--,5,33,0.635,793,65,6,71,722,0.91,1599:57,2.66,2.73,5,728,74,605,410,395,121
Montréal Canadiens,20252026,24,13,8,--,3,29,0.604,661,81,4,85,576,0.871,1463:19,3.49,3.54,0,595,82,567,438,360,116
Nashville Predators,20252026,25,8,13,--,4,20,0.4,685,83,9,92,594,0.867,1522:13,3.63,3.68,0,695,63,518,281,409,137
New Jersey Devils,20252026,26,16,9,--,1,33,0.635,741,76,3,79,663,0.895,1581:09,3,3.04,1,767,81,558,424,420,129
New York Islanders,20252026,26,13,10,--,3,29,0.558,701,69,5,74,627,0.894,1586:25,2.8,2.85,3,766,75,478,406,413,113
New York Rangers,20252026,27,13,12,--,2,28,0.519,772,62,9,71,701,0.908,1633:07,2.61,2.63,2,699,71,728,420,392,133
Ottawa Senators,20252026,25,12,9,--,4,28,0.56,640,80,4,84,556,0.869,1530:21,3.29,3.36,0,651,76,612,373,376,125
Philadelphia Flyers,20252026,25,14,8,--,3,31,0.62,652,69,3,72,580,0.89,1540:49,2.8,2.88,0,621,69,564,382,398,112
Pittsburgh Penguins,20252026,25,13,7,--,5,31,0.62,708,67,1,68,640,0.904,1520:53,2.68,2.72,3,676,79,394,385,414,109
San Jose Sharks,20252026,27,13,11,--,3,29,0.537,857,82,4,86,772,0.901,1644:56,3.14,3.19,0,658,79,563,442,426,117
Seattle Kraken,20252026,24,11,7,--,6,28,0.583,658,61,2,63,595,0.904,1476:00,2.56,2.63,2,585,59,451,376,392,108
St. Louis Blues,20252026,27,9,11,--,7,25,0.463,737,88,5,93,644,0.874,1644:42,3.39,3.44,2,682,69,610,402,376,119
Tampa Bay Lightning,20252026,25,16,7,--,2,34,0.68,688,62,3,65,624,0.907,1509:46,2.58,2.6,1,663,84,500,360,405,107
Toronto Maple Leafs,20252026,25,11,11,--,3,25,0.5,786,84,5,89,698,0.888,1519:14,3.51,3.56,0,680,85,625,416,446,115
Utah Mammoth,20252026,27,12,12,--,3,27,0.5,655,79,4,83,573,0.875,1631:04,3.05,3.07,0,779,80,510,384,479,108
Vancouver Canucks,20252026,26,10,13,--,3,23,0.442,785,88,7,95,690,0.879,1586:16,3.59,3.65,0,695,77,562,416,398,112
Vegas Golden Knights,20252026,25,11,6,--,8,30,0.6,620,69,5,74,546,0.881,1533:09,2.9,2.96,1,748,76,508,401,423,108
Washington Capitals,20252026,26,15,9,--,2,32,0.615,671,63,4,67,604,0.9,1571:19,2.56,2.58,1,773,88,560,408,439,134
Winnipeg Jets,20252026,25,13,12,--,0,26,0.52,731,70,5,75,656,0.897,1505:46,2.99,3,0,659,76,571,419,394,107
Anaheim Ducks,20242025,82,35,37,--,10,80,0.488,"2,648",249,12,261,"2,388",0.902,4989:16,3.14,3.18,1,"2,270",217,"1,876","1,380","1,171",349
Boston Bruins,20242025,82,33,39,--,10,76,0.463,"2,346",250,21,271,"2,075",0.884,4973:57,3.27,3.3,7,"2,174",222,"2,168","1,254","1,335",438
Buffalo Sabres,20242025,82,36,39,--,7,79,0.482,"2,368",262,25,287,"2,083",0.88,4972:07,3.46,3.5,3,"2,278",265,"1,736","1,190","1,197",382
Calgary Flames,20242025,82,41,27,--,14,96,0.585,"2,372",223,13,236,"2,136",0.901,5001:59,2.83,2.88,5,"2,414",220,"1,908","1,316","1,285",435
Carolina Hurricanes,20242025,82,47,30,--,5,99,0.604,"2,044",217,13,230,"1,816",0.888,4950:20,2.79,2.8,5,"2,598",266,"1,415",947,"1,329",452
Chicago Blackhawks,20242025,82,25,46,--,11,61,0.372,"2,551",269,23,292,"2,260",0.886,4964:30,3.53,3.56,0,"2,005",224,"1,533","1,205","1,192",413
Colorado Avalanche,20242025,82,49,29,--,4,102,0.622,"2,126",210,21,231,"1,895",0.891,4968:08,2.79,2.82,5,"2,451",273,"1,549","1,190","1,234",416
Columbus Blue Jackets,20242025,82,40,33,--,9,89,0.543,"2,453",254,13,267,"2,186",0.891,4980:15,3.22,3.26,4,"2,382",267,"1,656","1,327","1,241",391
Dallas Stars,20242025,82,50,26,--,6,106,0.646,"2,382",212,10,222,"2,160",0.907,4960:58,2.68,2.71,4,"2,325",275,"1,245","1,153","1,340",373
Detroit Red Wings,20242025,82,39,35,--,8,86,0.524,"2,336",241,18,259,"2,078",0.89,4973:57,3.12,3.16,4,"2,249",235,"1,570","1,275","1,255",367
Edmonton Oilers,20242025,82,48,29,--,5,101,0.616,"2,211",227,8,235,"1,976",0.894,4958:44,2.84,2.87,4,"2,622",259,"1,241","1,150","1,215",443
Florida Panthers,20242025,82,47,31,--,4,98,0.598,"2,148",203,20,223,"1,925",0.896,4973:20,2.69,2.72,8,"2,589",246,"2,446",990,"1,176",410
Los Angeles Kings,20242025,82,48,25,--,9,105,0.64,"2,091",191,12,203,"1,890",0.904,4963:21,2.45,2.48,6,"2,303",249,"1,742","1,202","1,150",351
Minnesota Wild,20242025,82,45,30,--,7,97,0.591,"2,428",222,14,236,"2,192",0.903,4976:24,2.85,2.88,6,"2,263",225,"1,645","1,319","1,224",407
Montréal Canadiens,20242025,82,40,31,--,11,91,0.555,"2,382",247,14,261,"2,122",0.891,4981:53,3.14,3.18,5,"2,096",243,"1,987","1,424","1,156",392
Nashville Predators,20242025,82,30,44,--,8,68,0.415,"2,342",250,24,274,"2,070",0.884,4955:03,3.32,3.34,4,"2,403",212,"1,933","1,161","1,252",392
New Jersey Devils,20242025,82,42,33,--,7,91,0.555,"2,161",205,15,220,"1,944",0.9,4963:28,2.66,2.68,9,"2,304",240,"1,929","1,155","1,252",342
New York Islanders,20242025,82,35,35,--,12,82,0.5,"2,356",234,23,257,"2,100",0.891,4978:02,3.1,3.13,4,"2,418",222,"1,814","1,340","1,214",412
New York Rangers,20242025,82,39,36,--,7,85,0.518,"2,451",239,16,255,"2,196",0.896,4949:47,3.09,3.11,9,"2,344",255,"2,031","1,221","1,239",405
Ottawa Senators,20242025,82,45,30,--,7,97,0.591,"2,346",218,14,232,"2,115",0.902,4955:35,2.81,2.83,10,"2,403",242,"2,106","1,270","1,068",398
Philadelphia Flyers,20242025,82,33,39,--,10,76,0.463,"2,210",265,18,283,"1,927",0.872,4995:15,3.4,3.45,3,"2,211",232,"1,727","1,455","1,289",430
Pittsburgh Penguins,20242025,82,34,36,--,12,80,0.488,"2,471",266,21,287,"2,185",0.884,4982:33,3.46,3.5,3,"2,324",242,"1,665","1,207","1,270",436
San Jose Sharks,20242025,82,20,50,--,12,52,0.317,"2,606",292,18,310,"2,297",0.881,4973:15,3.74,3.78,1,"2,203",208,"1,818","1,418","1,226",365
Seattle Kraken,20242025,82,35,41,--,6,76,0.463,"2,342",241,21,262,"2,081",0.889,4958:45,3.17,3.2,2,"2,243",245,"1,697","1,332","1,164",418
St. Louis Blues,20242025,82,44,30,--,8,96,0.585,"2,236",219,12,231,"2,005",0.897,4981:23,2.78,2.82,4,"2,186",250,"2,003","1,249","1,293",367
Tampa Bay Lightning,20242025,82,47,27,--,8,102,0.622,"2,311",199,17,216,"2,096",0.907,4965:55,2.61,2.63,7,"2,341",292,"1,443","1,177","1,190",348
Toronto Maple Leafs,20242025,82,52,26,--,4,108,0.659,"2,405",209,20,229,"2,177",0.905,4960:35,2.77,2.79,5,"2,297",267,"1,962","1,357","1,234",378
Utah Hockey Club,20242025,82,38,31,--,13,89,0.543,"2,272",231,16,247,"2,025",0.891,4994:13,2.97,3.01,2,"2,341",240,"1,467","1,252","1,414",384
Vancouver Canucks,20242025,82,38,30,--,14,90,0.549,"2,198",231,20,251,"1,947",0.886,5000:21,3.01,3.06,5,"2,094",233,"2,213","1,208","1,097",356
Vegas Golden Knights,20242025,82,50,22,--,10,110,0.671,"2,141",208,6,214,"1,927",0.9,4967:46,2.58,2.61,6,"2,482",274,"1,488","1,267","1,304",401
Washington Capitals,20242025,82,51,22,--,9,111,0.677,"2,229",221,8,229,"2,002",0.898,4975:34,2.76,2.79,3,"2,265",286,"1,580","1,340","1,211",362
Winnipeg Jets,20242025,82,56,22,--,4,116,0.707,"2,229",172,18,190,"2,039",0.915,4959:55,2.3,2.32,10,"2,314",275,"1,700","1,270","1,147",415
Anaheim Ducks,20232024,82,27,50,--,5,59,0.36,"2,666",280,13,293,"2,373",0.89,4951:39,3.55,3.57,1,"2,194",203,"1,915","1,343",579,502
Arizona Coyotes,20232024,82,36,41,--,5,77,0.47,"2,598",255,19,274,"2,326",0.895,4964:02,3.31,3.34,7,"2,273",254,"1,849","1,228",669,474
Boston Bruins,20232024,82,47,20,--,15,109,0.665,"2,504",211,10,221,"2,284",0.912,5002:41,2.65,2.7,5,"2,399",263,"2,259","1,299",698,516
Buffalo Sabres,20232024,82,39,37,--,6,84,0.512,"2,402",231,12,243,"2,159",0.899,4958:25,2.94,2.96,5,"2,534",244,"1,786","1,201",491,542
Calgary Flames,20232024,82,38,39,--,5,81,0.494,"2,438",249,18,267,"2,171",0.89,4962:12,3.23,3.26,2,"2,572",253,"1,752","1,379",811,621
Carolina Hurricanes,20232024,82,52,23,--,7,111,0.677,"2,101",199,12,211,"1,890",0.9,4972:42,2.55,2.57,8,"2,733",277,"1,384",937,680,621
Chicago Blackhawks,20232024,82,23,53,--,6,52,0.317,"2,681",274,15,289,"2,394",0.893,4949:58,3.5,3.52,1,"2,153",178,"1,874","1,340",747,714
Colorado Avalanche,20232024,82,50,25,--,7,107,0.652,"2,444",239,13,252,"2,194",0.898,4969:24,3.04,3.07,4,"2,705",302,"1,671","1,214",603,647
Columbus Blue Jackets,20232024,82,27,43,--,12,66,0.402,"2,822",279,19,298,"2,524",0.894,4978:38,3.59,3.63,1,"2,458",234,"1,578","1,396",463,517
Dallas Stars,20232024,82,52,21,--,9,113,0.689,"2,350",225,7,232,"2,118",0.901,4982:07,2.79,2.83,4,"2,588",294,"1,458","1,225",668,560
Detroit Red Wings,20232024,82,41,32,--,9,91,0.555,"2,657",260,13,273,"2,384",0.897,4980:26,3.29,3.33,4,"2,375",275,"1,684","1,360",591,457
Edmonton Oilers,20232024,82,49,27,--,6,104,0.634,"2,307",220,16,236,"2,071",0.898,4969:06,2.85,2.88,4,"2,768",292,"1,873","1,103",807,707
Florida Panthers,20232024,82,52,24,--,6,110,0.671,"2,279",186,12,198,"2,082",0.914,4970:30,2.39,2.41,8,"2,764",265,"2,339","1,044",681,564
Los Angeles Kings,20232024,82,44,27,--,11,99,0.604,"2,296",202,8,210,"2,087",0.909,4976:17,2.53,2.56,7,"2,616",254,"1,764","1,267",564,424
Minnesota Wild,20232024,82,39,34,--,9,87,0.53,"2,437",249,11,260,"2,177",0.893,4984:12,3.13,3.17,6,"2,471",248,"1,599","1,305",526,497
Montréal Canadiens,20232024,82,30,36,--,16,76,0.463,"2,738",267,14,281,"2,457",0.897,5013:07,3.36,3.43,2,"2,269",232,"1,808","1,464",788,463
Nashville Predators,20232024,82,47,30,--,5,99,0.604,"2,507",231,17,248,"2,259",0.901,4952:22,3,3.02,4,"2,642",266,"2,149","1,265",762,651
New Jersey Devils,20232024,82,38,39,--,5,81,0.494,"2,458",254,27,281,"2,177",0.886,4949:18,3.41,3.43,1,"2,516",264,"1,667","1,116",644,563
New York Islanders,20232024,82,39,27,--,16,94,0.573,"2,686",238,20,258,"2,429",0.904,4983:06,3.11,3.15,5,"2,470",245,"2,062","1,552",699,527
New York Rangers,20232024,82,55,23,--,4,114,0.695,"2,418",211,15,226,"2,193",0.907,4974:38,2.73,2.76,6,"2,582",278,"1,981","1,289",588,563
Ottawa Senators,20232024,82,37,41,--,4,78,0.476,"2,432",271,10,281,"2,151",0.884,4974:57,3.39,3.43,2,"2,602",250,"1,994","1,356",797,597
Philadelphia Flyers,20232024,82,38,33,--,11,87,0.53,"2,225",245,13,258,"1,967",0.884,4976:52,3.11,3.15,5,"2,708",231,"2,024","1,533",507,496
Pittsburgh Penguins,20232024,82,38,32,--,12,88,0.537,"2,479",240,8,248,"2,232",0.9,4971:29,2.99,3.02,8,"2,685",253,"1,632","1,250",672,706
San Jose Sharks,20232024,82,19,54,--,9,47,0.287,"2,881",308,18,326,"2,555",0.887,4970:09,3.94,3.98,2,"2,069",180,"1,875","1,491",451,544
Seattle Kraken,20232024,82,34,35,--,13,81,0.494,"2,391",216,16,232,"2,159",0.903,4993:57,2.79,2.83,5,"2,347",214,"1,829","1,218",420,686
St. Louis Blues,20232024,82,43,33,--,6,92,0.561,"2,636",228,20,248,"2,389",0.906,4977:27,2.99,3.02,4,"2,370",234,"1,654","1,219",621,726
Tampa Bay Lightning,20232024,82,45,29,--,8,98,0.598,"2,430",251,16,267,"2,163",0.89,4962:41,3.23,3.26,4,"2,401",288,"1,983","1,247",607,528
Toronto Maple Leafs,20232024,82,46,26,--,10,102,0.622,"2,446",248,13,261,"2,185",0.893,4995:54,3.13,3.18,5,"2,671",298,"2,277","1,352",787,625
Vancouver Canucks,20232024,82,50,23,--,9,109,0.665,"2,343",213,8,221,"2,123",0.906,4964:45,2.67,2.7,7,"2,328",279,"2,178","1,152",492,499
Vegas Golden Knights,20232024,82,45,29,--,8,98,0.598,"2,487",229,14,243,"2,244",0.902,4975:15,2.93,2.96,3,"2,548",263,"2,019","1,506",565,690
Washington Capitals,20232024,82,40,31,--,11,91,0.555,"2,503",243,9,252,"2,251",0.899,4991:21,3.03,3.07,7,"2,172",216,"1,878","1,419",700,628
Winnipeg Jets,20232024,82,52,24,--,6,110,0.671,"2,429",187,11,198,"2,231",0.918,4951:09,2.4,2.41,8,"2,488",259,"1,853","1,230",555,524
Anaheim Ducks,20222023,82,23,47,--,12,58,0.354,"3,207",323,12,335,"2,873",0.896,4985:38,4.03,4.09,1,"2,326",206,"1,284","1,201",656,457
Arizona Coyotes,20222023,82,28,40,--,14,70,0.427,"2,874",285,10,295,"2,580",0.898,4991:49,3.55,3.6,4,"2,119",225,"2,095","1,226",792,487
Boston Bruins,20222023,82,65,12,--,5,135,0.823,"2,447",168,6,174,"2,273",0.929,4982:45,2.1,2.12,7,"2,703",301,"1,925","1,146",775,564
Buffalo Sabres,20222023,82,42,33,--,7,91,0.555,"2,710",280,17,297,"2,414",0.891,4976:53,3.58,3.62,2,"2,665",293,"1,171",927,580,583
Calgary Flames,20222023,82,38,27,--,17,93,0.567,"2,240",239,8,247,"1,996",0.891,4998:38,2.96,3.01,1,"2,948",258,"1,981","1,024",717,624
Carolina Hurricanes,20222023,82,52,21,--,9,113,0.689,"2,132",197,13,210,"1,923",0.902,4990:32,2.52,2.56,9,"2,852",262,"1,351",834,715,738
Chicago Blackhawks,20222023,82,26,49,--,7,59,0.36,"2,758",278,21,299,"2,459",0.892,4967:25,3.61,3.65,2,"2,210",202,"1,972","1,283",794,689
Colorado Avalanche,20222023,82,51,24,--,7,109,0.665,"2,539",211,12,223,"2,317",0.913,4996:46,2.68,2.72,6,"2,727",274,"1,613","1,114",541,607
Columbus Blue Jackets,20222023,82,25,48,--,9,59,0.36,"2,904",315,14,329,"2,577",0.887,4967:00,3.97,4.01,0,"2,399",213,"1,880","1,343",559,535
Dallas Stars,20222023,82,47,21,--,14,108,0.659,"2,452",205,10,215,"2,239",0.913,4993:05,2.58,2.62,6,"2,617",281,"1,648","1,151",783,581
Detroit Red Wings,20222023,82,35,37,--,10,80,0.488,"2,496",264,11,275,"2,221",0.89,4983:15,3.31,3.35,4,"2,312",237,"1,812","1,282",580,472
Edmonton Oilers,20222023,82,50,23,--,9,109,0.665,"2,572",248,8,256,"2,317",0.901,4963:39,3.09,3.12,2,"2,754",325,"1,874","1,037",866,734
Florida Panthers,20222023,82,42,32,--,8,92,0.561,"2,603",250,22,272,"2,332",0.896,4960:09,3.29,3.32,3,"3,019",288,"1,755","1,064",728,562
Los Angeles Kings,20222023,82,47,25,--,10,104,0.634,"2,289",247,7,254,"2,035",0.889,4989:20,3.05,3.1,3,"2,658",274,"1,742","1,308",623,415
Minnesota Wild,20222023,82,46,25,--,11,103,0.628,"2,552",207,12,219,"2,333",0.914,5018:28,2.62,2.67,5,"2,535",239,"1,784","1,318",533,541
Montréal Canadiens,20222023,82,31,45,--,6,68,0.415,"2,753",286,19,305,"2,448",0.889,4973:37,3.68,3.72,1,"2,237",227,"1,597","1,410","1,018",512
Nashville Predators,20222023,82,42,32,--,8,92,0.561,"2,729",224,12,236,"2,493",0.914,4990:21,2.84,2.88,2,"2,419",223,"2,242","1,322",687,575
New Jersey Devils,20222023,82,52,22,--,8,112,0.683,"2,315",211,11,222,"2,093",0.904,4987:50,2.67,2.71,4,"2,821",289,"1,366","1,220",768,619
New York Islanders,20222023,82,42,31,--,9,93,0.567,"2,544",200,17,217,"2,328",0.915,4973:15,2.62,2.65,8,"2,524",242,"2,139","1,323",767,528
New York Rangers,20222023,82,47,22,--,13,107,0.652,"2,405",210,6,216,"2,189",0.91,4990:00,2.6,2.63,4,"2,582",273,"1,978","1,205",866,679
Ottawa Senators,20222023,82,39,35,--,8,86,0.524,"2,572",256,14,270,"2,302",0.895,4965:16,3.26,3.29,3,"2,746",259,"2,290","1,254",788,558
Philadelphia Flyers,20222023,82,31,38,--,13,75,0.457,"2,585",257,19,276,"2,310",0.894,4972:59,3.33,3.37,3,"2,416",220,"2,223","1,411",602,514
Pittsburgh Penguins,20222023,82,40,31,--,11,91,0.555,"2,687",249,14,263,"2,424",0.902,4966:13,3.18,3.21,2,"2,818",261,"2,309","1,222",803,676
San Jose Sharks,20222023,82,22,44,--,16,60,0.366,"2,640",294,21,315,"2,325",0.881,4984:44,3.79,3.84,4,"2,415",233,"1,871","1,308",687,748
Seattle Kraken,20222023,82,46,28,--,8,100,0.61,"2,215",242,10,252,"1,965",0.887,4965:39,3.04,3.07,3,"2,497",289,"1,802","1,127",557,787
St. Louis Blues,20222023,82,37,38,--,7,81,0.494,"2,652",277,21,298,"2,355",0.888,4969:28,3.6,3.63,4,"2,341",260,"1,814","1,173",623,684
Tampa Bay Lightning,20222023,82,46,30,--,6,98,0.598,"2,582",234,18,252,"2,330",0.902,4966:06,3.04,3.07,6,"2,621",280,"2,026","1,148",780,767
Toronto Maple Leafs,20222023,82,50,21,--,11,111,0.677,"2,420",210,10,220,"2,200",0.909,4964:53,2.66,2.68,5,"2,628",278,"1,775","1,214",843,709
Vancouver Canucks,20222023,82,38,37,--,7,83,0.506,"2,527",282,14,296,"2,231",0.883,4991:47,3.56,3.61,1,"2,438",270,"2,024","1,139",562,519
Vegas Golden Knights,20222023,82,51,22,--,9,111,0.677,"2,533",214,11,225,"2,309",0.912,4997:32,2.7,2.74,3,"2,587",267,"1,930","1,494",575,718
Washington Capitals,20222023,82,35,37,--,10,80,0.488,"2,548",240,21,261,"2,288",0.898,4977:17,3.15,3.18,5,"2,549",253,"2,015","1,274",781,590
Winnipeg Jets,20222023,82,46,33,--,3,95,0.579,"2,487",207,17,224,"2,263",0.91,4951:37,2.71,2.73,4,"2,486",246,"1,789","1,113",707,611
Anaheim Ducks,20212022,82,31,37,--,14,76,0.463,"2,725",250,16,266,"2,459",0.902,5002:00,3.19,3.24,4,"2,393",228,"1,697","1,122",764,501
Arizona Coyotes,20212022,82,25,50,--,7,57,0.348,"2,910",300,9,309,"2,601",0.894,4969:26,3.73,3.77,1,"2,121",206,"1,847","1,149",796,548
Boston Bruins,20212022,82,51,26,--,5,107,0.652,"2,354",205,13,218,"2,136",0.907,4959:37,2.64,2.66,4,"2,962",253,"2,205","1,018",680,529
Buffalo Sabres,20212022,82,32,39,--,11,75,0.457,"2,702",270,17,287,"2,415",0.894,4974:30,3.46,3.5,1,"2,451",229,"1,246",897,620,508
Calgary Flames,20212022,82,50,21,--,11,111,0.677,"2,374",194,12,206,"2,168",0.913,4966:13,2.49,2.51,11,"2,908",291,"1,836",955,871,587
Carolina Hurricanes,20212022,82,54,20,--,8,116,0.707,"2,310",194,6,200,"2,110",0.913,4969:23,2.41,2.44,6,"2,798",277,"1,804",858,849,675
Chicago Blackhawks,20212022,82,28,42,--,12,68,0.415,"2,703",270,19,289,"2,414",0.893,4996:18,3.47,3.52,4,"2,362",213,"2,023","1,300",738,597
Colorado Avalanche,20212022,82,56,19,--,7,119,0.726,"2,625",219,13,232,"2,394",0.912,4967:37,2.8,2.83,7,"2,874",308,"1,764","1,084",567,596
Columbus Blue Jackets,20212022,82,37,38,--,7,81,0.494,"2,887",284,13,297,"2,590",0.897,4971:55,3.58,3.62,2,"2,463",258,"1,638","1,073",598,584
Dallas Stars,20212022,82,46,30,--,6,98,0.598,"2,545",226,18,244,"2,301",0.904,4990:45,2.93,2.98,2,"2,486",233,"1,850","1,170",820,460
Detroit Red Wings,20212022,82,32,40,--,10,74,0.451,"2,761",282,28,310,"2,451",0.888,4982:05,3.73,3.78,4,"2,414",227,"1,599","1,091",629,462
Edmonton Oilers,20212022,82,49,27,--,6,104,0.634,"2,647",242,9,251,"2,396",0.905,4979:13,3.02,3.06,4,"2,790",285,"1,853","1,018",885,633
Florida Panthers,20212022,82,58,18,--,6,122,0.744,"2,515",233,9,242,"2,273",0.904,4984:13,2.91,2.95,5,"3,062",337,"2,050",995,969,801
Los Angeles Kings,20212022,82,44,27,--,11,99,0.604,"2,341",224,8,232,"2,109",0.901,4992:13,2.79,2.83,5,"2,865",235,"1,667","1,091",592,449
Minnesota Wild,20212022,82,53,22,--,7,113,0.689,"2,577",228,21,249,"2,328",0.903,4996:38,2.99,3.04,3,"2,666",305,"1,846","1,115",571,490
