Team,Season,GP,W,L,T,OT,P,P%,SA,Goalie GA,EN GA,GA,Svs,Team Sv%,TOI,GAA,GA/GP,SO,ShotsFor,GF,Hits,BkS,GvA,TkA
Montréal Canadiens,20212022,82,22,49,--,11,55,0.335,"2,823",298,19,317,"2,506",0.888,4972:13,3.83,3.87,3,"2,442",218,"2,004","1,184","1,046",507
Nashville Predators,20212022,82,45,30,--,7,97,0.591,"2,646",233,17,250,"2,396",0.906,4977:21,3.01,3.05,4,"2,439",262,"2,470","1,160",764,535
New Jersey Devils,20212022,82,27,46,--,9,63,0.384,"2,540",288,14,302,"2,238",0.881,4978:32,3.64,3.68,2,"2,562",245,"1,561","1,021",815,644
New York Islanders,20212022,82,37,35,--,10,84,0.512,"2,669",213,18,231,"2,438",0.913,4970:13,2.79,2.82,9,"2,367",229,"2,018","1,235",858,499
New York Rangers,20212022,82,52,24,--,6,110,0.671,"2,528",200,4,204,"2,324",0.919,4970:46,2.46,2.49,9,"2,392",250,"2,094","1,167",743,627
Ottawa Senators,20212022,82,33,42,--,7,73,0.445,"2,740",249,15,264,"2,476",0.904,4967:02,3.19,3.22,2,"2,463",224,"2,417","1,198",809,544
Philadelphia Flyers,20212022,82,25,46,--,11,61,0.372,"2,785",267,27,294,"2,492",0.895,4968:45,3.55,3.59,1,"2,539",210,"1,839","1,234",667,470
Pittsburgh Penguins,20212022,82,46,25,--,11,103,0.628,"2,576",208,14,222,"2,355",0.914,4992:38,2.67,2.71,7,"2,849",269,"2,010","1,094",668,652
San Jose Sharks,20212022,82,32,37,--,13,77,0.47,"2,622",238,23,261,"2,361",0.9,4975:39,3.15,3.18,3,"2,400",211,"1,980","1,369",710,736
Seattle Kraken,20212022,82,27,49,--,6,60,0.366,"2,367",258,26,284,"2,083",0.88,4949:49,3.44,3.46,3,"2,380",213,"1,771","1,031",633,582
St. Louis Blues,20212022,82,49,22,--,11,109,0.665,"2,591",226,13,239,"2,352",0.908,4964:10,2.89,2.91,4,"2,492",309,"1,656","1,004",667,617
Tampa Bay Lightning,20212022,82,51,23,--,8,110,0.671,"2,441",212,16,228,"2,213",0.907,4988:06,2.74,2.78,3,"2,535",285,"2,125","1,044",482,571
Toronto Maple Leafs,20212022,82,54,21,--,7,115,0.701,"2,511",241,11,252,"2,259",0.9,4968:30,3.04,3.07,7,"2,835",312,"1,746",972,867,736
Vancouver Canucks,20212022,82,40,30,--,12,92,0.561,"2,612",221,10,231,"2,381",0.912,4983:51,2.78,2.82,1,"2,622",246,"1,901","1,176",606,558
Vegas Golden Knights,20212022,82,43,31,--,8,94,0.573,"2,458",231,13,244,"2,214",0.901,4979:45,2.94,2.98,3,"2,830",262,"1,680","1,310",723,742
Washington Capitals,20212022,82,44,26,--,12,100,0.61,"2,378",232,10,242,"2,137",0.899,4991:48,2.91,2.95,8,"2,577",270,"2,068","1,150",638,552
Winnipeg Jets,20212022,82,39,32,--,11,89,0.543,"2,721",237,16,253,"2,468",0.907,4977:06,3.05,3.09,5,"2,645",250,"1,921","1,089",868,580
Anaheim Ducks,20192020,71,29,33,--,9,67,0.472,"2,282",215,10,225,"2,058",0.902,4321:01,3.12,3.17,1,"2,106",182,"1,596",943,736,448
Arizona Coyotes,20192020,70,33,29,--,8,74,0.529,"2,270",173,10,183,"2,087",0.919,4260:07,2.58,2.61,4,"2,220",190,"1,378",958,607,466
Boston Bruins,20192020,70,44,14,--,12,100,0.714,"2,103",158,9,167,"1,936",0.921,4260:43,2.35,2.39,8,"2,247",227,"1,649",891,699,526
Buffalo Sabres,20192020,69,30,31,--,8,68,0.493,"2,148",201,14,215,"1,934",0.9,4184:28,3.08,3.12,3,"2,021",193,"1,317",759,542,363
Calgary Flames,20192020,70,36,27,--,7,79,0.564,"2,271",201,13,214,"2,057",0.906,4268:35,3.01,3.06,4,"2,212",204,"1,279",936,833,606
Carolina Hurricanes,20192020,68,38,25,--,5,81,0.596,"1,994",186,7,193,"1,802",0.904,4129:03,2.8,2.84,6,"2,261",217,"1,188",783,727,620
Chicago Blackhawks,20192020,70,32,30,--,8,72,0.514,"2,458",202,12,214,"2,244",0.913,4255:58,3.02,3.06,1,"2,227",208,"1,538","1,015",712,574
Colorado Avalanche,20192020,70,42,20,--,8,92,0.657,"2,193",178,12,190,"2,003",0.913,4239:38,2.69,2.71,4,"2,257",236,"1,296","1,030",543,564
Columbus Blue Jackets,20192020,70,33,22,--,15,81,0.579,"2,092",177,6,183,"1,909",0.913,4261:48,2.58,2.61,7,"2,272",180,"1,436","1,060",593,437
Dallas Stars,20192020,69,37,24,--,8,82,0.594,"2,177",165,9,174,"2,003",0.92,4191:50,2.49,2.52,2,"2,113",178,"1,538","1,031",825,533
Detroit Red Wings,20192020,71,17,49,--,5,39,0.275,"2,329",246,19,265,"2,064",0.886,4290:28,3.71,3.73,1,"1,924",142,"1,578",905,838,310
Edmonton Oilers,20192020,71,37,25,--,9,83,0.585,"2,274",203,12,215,"2,059",0.905,4300:09,3,3.03,2,"2,100",223,"1,589","1,064",854,585
Florida Panthers,20192020,69,35,26,--,8,78,0.565,"2,227",212,12,224,"2,003",0.899,4185:13,3.21,3.25,2,"2,253",228,"1,247",978,814,615
Los Angeles Kings,20192020,70,29,35,--,6,64,0.457,"2,079",195,14,209,"1,870",0.899,4240:10,2.96,2.99,1,"2,325",177,"1,460",861,691,365
Minnesota Wild,20192020,69,35,27,--,7,77,0.558,"2,115",205,12,217,"1,898",0.897,4180:27,3.11,3.14,6,"2,077",218,"1,121",968,464,442
Montréal Canadiens,20192020,71,31,31,--,9,71,0.5,"2,208",209,11,220,"1,988",0.9,4309:55,3.06,3.1,4,"2,422",208,"1,882",925,873,490
Nashville Predators,20192020,69,35,26,--,8,78,0.565,"2,157",203,11,214,"1,943",0.901,4195:58,3.06,3.1,7,"2,287",212,"1,157","1,020",643,517
New Jersey Devils,20192020,69,28,29,--,12,68,0.493,"2,256",215,9,224,"2,032",0.901,4204:42,3.2,3.25,4,"2,117",185,"1,381","1,033",671,487
New York Islanders,20192020,68,35,23,--,10,80,0.588,"2,123",183,7,190,"1,933",0.911,4145:59,2.75,2.79,3,"2,016",189,"1,915","1,153",947,485
New York Rangers,20192020,70,37,28,--,5,79,0.564,"2,381",209,11,220,"2,161",0.908,4225:23,3.12,3.14,3,"2,175",233,"1,527","1,050",864,567
Ottawa Senators,20192020,71,25,34,--,12,62,0.437,"2,384",228,10,238,"2,146",0.9,4322:54,3.3,3.35,0,"2,174",190,"1,979","1,070",749,448
Philadelphia Flyers,20192020,69,41,21,--,7,89,0.645,"1,977",183,8,191,"1,786",0.903,4205:34,2.72,2.77,3,"2,166",227,"1,501",843,674,448
Pittsburgh Penguins,20192020,69,40,23,--,6,86,0.623,"2,051",185,11,196,"1,855",0.904,4194:03,2.8,2.84,4,"2,204",221,"1,884",892,634,520
San Jose Sharks,20192020,70,29,36,--,5,63,0.45,"2,140",210,15,225,"1,915",0.895,4233:25,3.19,3.21,2,"2,101",180,"1,587",936,634,587
St. Louis Blues,20192020,71,42,19,--,10,94,0.662,"2,100",174,16,190,"1,911",0.91,4320:55,2.64,2.68,5,"2,179",223,"1,471",844,545,545
Tampa Bay Lightning,20192020,70,43,21,--,6,92,0.657,"2,165",185,9,194,"1,971",0.91,4243:09,2.74,2.77,4,"2,176",243,"1,677",897,510,515
Toronto Maple Leafs,20192020,70,36,25,--,9,81,0.579,"2,233",213,9,222,"2,012",0.901,4261:52,3.13,3.17,4,"2,302",237,"1,188",903,823,554
Vancouver Canucks,20192020,69,36,27,--,6,78,0.565,"2,297",200,14,214,"2,083",0.907,4189:13,3.07,3.1,2,"2,153",224,"1,360","1,088",574,475
Vegas Golden Knights,20192020,71,39,24,--,8,86,0.606,"2,082",206,3,209,"1,873",0.9,4313:48,2.91,2.94,6,"2,450",224,"1,906",955,606,682
Washington Capitals,20192020,69,41,20,--,8,90,0.652,"2,084",202,10,212,"1,872",0.898,4198:01,3.03,3.07,1,"2,206",236,"1,716",951,753,522
Winnipeg Jets,20192020,71,37,28,--,6,80,0.563,"2,315",194,7,201,"2,114",0.913,4300:53,2.8,2.83,6,"2,222",213,"1,550",874,745,484
Anaheim Ducks,20182019,82,35,37,--,10,80,0.488,"2,725",234,14,248,"2,477",0.909,4972:00,2.99,3.02,4,"2,271",196,"1,900","1,196",930,564
Arizona Coyotes,20182019,82,39,35,--,8,86,0.524,"2,527",209,11,220,"2,307",0.913,4980:21,2.65,2.68,6,"2,521",209,"2,028","1,298",707,582
Boston Bruins,20182019,82,49,24,--,9,107,0.652,"2,416",199,13,212,"2,204",0.912,4983:32,2.55,2.59,9,"2,680",257,"1,876","1,050",808,715
Buffalo Sabres,20182019,82,33,39,--,10,76,0.463,"2,704",251,17,268,"2,436",0.901,4994:21,3.22,3.27,2,"2,697",221,"1,565","1,003",769,503
Calgary Flames,20182019,82,50,25,--,7,107,0.652,"2,302",218,5,223,"2,079",0.903,4950:55,2.7,2.72,3,"2,656",289,"1,233","1,033","1,189",845
Carolina Hurricanes,20182019,82,46,29,--,7,99,0.604,"2,343",209,12,221,"2,122",0.906,4957:55,2.67,2.7,6,"2,822",243,"2,073","1,044",911,889
Chicago Blackhawks,20182019,82,36,34,--,12,84,0.512,"2,852",273,18,291,"2,561",0.898,4979:19,3.51,3.55,2,"2,669",267,"1,350","1,115",797,617
Colorado Avalanche,20182019,82,38,30,--,14,90,0.549,"2,619",227,17,244,"2,375",0.907,4972:43,2.94,2.98,5,"2,676",258,"1,699","1,324",595,537
Columbus Blue Jackets,20182019,82,47,31,--,4,98,0.598,"2,418",220,11,231,"2,187",0.904,4953:25,2.8,2.82,9,"2,592",256,"1,741","1,076",605,620
Dallas Stars,20182019,82,43,32,--,7,93,0.567,"2,591",183,17,200,"2,391",0.923,4962:36,2.42,2.44,10,"2,519",209,"1,820","1,291","1,029",574
Detroit Red Wings,20182019,82,32,40,--,10,74,0.451,"2,761",256,16,272,"2,489",0.901,4996:57,3.27,3.32,2,"2,394",224,"1,749","1,103","1,025",473
Edmonton Oilers,20182019,82,35,38,--,9,79,0.482,"2,599",256,15,271,"2,328",0.896,4967:38,3.27,3.3,5,"2,392",229,"2,192","1,174",968,665
Florida Panthers,20182019,82,36,32,--,14,86,0.524,"2,516",259,14,273,"2,244",0.892,4999:14,3.28,3.33,1,"2,705",264,"1,901","1,138","1,234",749
Los Angeles Kings,20182019,82,31,42,--,9,71,0.433,"2,578",243,16,259,"2,319",0.9,4980:44,3.12,3.16,5,"2,358",199,"1,907","1,170",857,428
Minnesota Wild,20182019,82,37,36,--,9,83,0.506,"2,419",216,17,233,"2,186",0.904,4968:06,2.81,2.84,2,"2,567",210,"1,602","1,221",517,568
Montréal Canadiens,20182019,82,44,30,--,8,96,0.585,"2,548",227,9,236,"2,313",0.908,4957:43,2.86,2.88,4,"2,796",246,"2,203","1,170","1,031",605
Nashville Predators,20182019,82,47,29,--,6,100,0.61,"2,459",204,8,212,"2,247",0.914,4967:23,2.56,2.59,7,"2,678",236,"1,492","1,079",857,628
New Jersey Devils,20182019,82,31,41,--,10,72,0.439,"2,592",254,17,271,"2,321",0.895,4984:24,3.26,3.3,6,"2,488",219,"1,924","1,158",745,630
New York Islanders,20182019,82,48,27,--,7,103,0.628,"2,534",181,10,191,"2,344",0.925,4983:10,2.3,2.33,11,"2,360",223,"2,031","1,295",950,556
New York Rangers,20182019,82,32,36,--,14,78,0.476,"2,774",249,18,267,"2,507",0.904,5002:41,3.2,3.26,2,"2,393",221,"2,128","1,213","1,039",667
Ottawa Senators,20182019,82,29,47,--,6,64,0.39,"2,931",284,17,301,"2,630",0.897,4944:39,3.65,3.67,4,"2,429",242,"1,782","1,381",978,608
Philadelphia Flyers,20182019,82,37,37,--,8,82,0.5,"2,665",265,15,280,"2,385",0.895,4963:49,3.38,3.41,3,"2,583",241,"1,755","1,277",821,490
Pittsburgh Penguins,20182019,82,44,26,--,12,100,0.61,"2,729",225,13,238,"2,491",0.913,4981:30,2.87,2.9,7,"2,731",271,"2,363","1,229",825,633
San Jose Sharks,20182019,82,46,27,--,9,101,0.616,"2,323",246,12,258,"2,066",0.889,4962:08,3.12,3.15,5,"2,708",289,"1,575","1,077",836,745
St. Louis Blues,20182019,82,45,28,--,9,99,0.604,"2,345",209,11,220,"2,125",0.906,4980:59,2.65,2.68,9,"2,604",244,"1,615","1,138",603,688
Tampa Bay Lightning,20182019,82,62,16,--,4,128,0.78,"2,633",215,6,221,"2,412",0.916,4979:34,2.66,2.7,6,"2,620",319,"2,116","1,125",704,571
Toronto Maple Leafs,20182019,82,46,28,--,8,100,0.61,"2,717",233,16,249,"2,469",0.909,4958:09,3.01,3.04,3,"2,736",286,"1,421","1,113","1,002",695
Vancouver Canucks,20182019,82,35,36,--,11,81,0.494,"2,597",241,7,248,"2,349",0.905,5009:58,2.97,3.02,1,"2,433",219,"1,799","1,233",609,535
Vegas Golden Knights,20182019,82,43,32,--,7,93,0.567,"2,399",216,12,228,"2,172",0.905,4959:31,2.76,2.78,9,"2,814",246,"2,268","1,118",749,903
Washington Capitals,20182019,82,48,26,--,8,104,0.634,"2,584",234,14,248,"2,337",0.904,4977:50,2.99,3.02,4,"2,492",274,"1,885","1,234",960,688
Winnipeg Jets,20182019,82,47,30,--,5,99,0.604,"2,741",233,10,243,"2,498",0.911,4966:40,2.94,2.96,3,"2,557",270,"1,841","1,187",757,623
Anaheim Ducks,20172018,82,44,25,--,13,101,0.616,"2,716",199,10,209,"2,507",0.923,5002:19,2.51,2.55,9,"2,475",231,"1,949","1,233",831,480
Arizona Coyotes,20172018,82,29,41,--,12,70,0.427,"2,642",234,17,251,"2,391",0.905,4999:15,3.01,3.06,5,"2,450",206,"1,999","1,186",600,449
Boston Bruins,20172018,82,50,20,--,12,112,0.683,"2,399",201,10,211,"2,188",0.912,4982:22,2.54,2.57,4,"2,703",267,"1,914","1,072",760,682
Buffalo Sabres,20172018,82,25,45,--,12,62,0.378,"2,681",256,22,278,"2,403",0.896,4974:01,3.35,3.39,3,"2,557",198,"1,767","1,082",621,445
Calgary Flames,20172018,82,37,35,--,10,84,0.512,"2,554",231,12,243,"2,311",0.905,4979:40,2.93,2.96,3,"2,759",216,"1,639","1,100",824,679
Carolina Hurricanes,20172018,82,36,35,--,11,83,0.506,"2,367",243,10,253,"2,115",0.894,4981:55,3.05,3.09,2,"2,780",225,"1,597","1,006",803,887
Chicago Blackhawks,20172018,82,33,39,--,10,76,0.463,"2,697",240,14,254,"2,443",0.906,4966:18,3.07,3.1,2,"2,793",228,"1,376","1,199",699,586
Colorado Avalanche,20172018,82,43,30,--,9,95,0.579,"2,731",225,11,236,"2,495",0.914,4962:11,2.85,2.88,5,"2,432",255,"1,633","1,299",507,523
Columbus Blue Jackets,20172018,82,45,30,--,7,97,0.591,"2,567",216,10,226,"2,341",0.912,4995:24,2.71,2.76,5,"2,761",236,"1,745","1,218",518,617
Dallas Stars,20172018,82,42,32,--,8,92,0.561,"2,447",208,14,222,"2,225",0.909,4981:13,2.67,2.71,6,"2,560",231,"1,861","1,272",697,459
Detroit Red Wings,20172018,82,30,39,--,13,73,0.445,"2,613",244,10,254,"2,359",0.903,4983:50,3.06,3.1,4,"2,490",212,"1,606","1,168",866,503
Edmonton Oilers,20172018,82,36,40,--,6,78,0.476,"2,634",251,11,262,"2,372",0.901,4976:28,3.16,3.2,1,"2,740",229,"2,134","1,275","1,026",676
Florida Panthers,20172018,82,44,30,--,8,96,0.585,"2,838",230,13,243,"2,596",0.915,4972:32,2.93,2.96,7,"2,822",245,"1,653","1,172","1,076",746
Los Angeles Kings,20172018,82,45,29,--,8,98,0.598,"2,537",193,9,202,"2,335",0.92,4982:29,2.43,2.46,8,"2,544",237,"2,115","1,198",838,396
Minnesota Wild,20172018,82,45,26,--,11,101,0.616,"2,569",216,13,229,"2,340",0.911,4978:56,2.76,2.79,6,"2,476",250,"1,367","1,295",511,480
Montréal Canadiens,20172018,82,29,40,--,13,71,0.433,"2,650",246,12,258,"2,392",0.903,4979:41,3.11,3.15,4,"2,687",207,"2,169","1,350",989,579
Nashville Predators,20172018,82,53,18,--,11,117,0.713,"2,659",195,9,204,"2,455",0.923,5006:41,2.44,2.49,11,"2,641",261,"1,656","1,204",795,648
New Jersey Devils,20172018,82,44,29,--,9,97,0.591,"2,616",234,6,240,"2,376",0.908,4989:50,2.89,2.93,2,"2,599",243,"1,816","1,176",653,679
New York Islanders,20172018,82,35,37,--,10,80,0.488,"2,918",282,11,293,"2,625",0.9,4983:28,3.53,3.57,2,"2,572",261,"1,816","1,263",920,541
New York Rangers,20172018,82,34,39,--,9,77,0.47,"2,898",248,15,263,"2,635",0.909,4979:30,3.17,3.21,3,"2,538",228,"1,714","1,228","1,039",713
Ottawa Senators,20172018,82,28,43,--,11,67,0.409,"2,712",272,12,284,"2,428",0.895,4985:04,3.42,3.46,2,"2,515",219,"1,966","1,337",809,559
Philadelphia Flyers,20172018,82,42,26,--,14,98,0.598,"2,448",228,8,236,"2,212",0.904,4996:51,2.83,2.88,3,"2,631",249,"1,670","1,230",757,478
Pittsburgh Penguins,20172018,82,47,29,--,6,100,0.61,"2,553",240,8,248,"2,305",0.903,4966:19,3,3.02,4,"2,823",270,"1,951","1,184",734,582
San Jose Sharks,20172018,82,45,27,--,10,100,0.61,"2,488",212,14,226,"2,262",0.909,4985:23,2.72,2.76,6,"2,702",247,"1,380","1,381",824,710
St. Louis Blues,20172018,82,44,32,--,6,94,0.573,"2,438",208,14,222,"2,216",0.909,4966:56,2.68,2.71,4,"2,677",223,"1,893","1,278",482,613
Tampa Bay Lightning,20172018,82,54,23,--,5,113,0.689,"2,683",227,7,234,"2,449",0.913,4979:36,2.82,2.85,8,"2,680",290,"1,728","1,127",692,575
Toronto Maple Leafs,20172018,82,49,26,--,7,105,0.64,"2,776",221,9,230,"2,546",0.917,4988:05,2.77,2.8,8,"2,640",270,"1,632","1,104","1,005",690
Vancouver Canucks,20172018,82,31,40,--,11,73,0.445,"2,641",242,17,259,"2,383",0.902,4972:59,3.12,3.16,4,"2,464",218,"1,745","1,152",667,499
Vegas Golden Knights,20172018,82,51,24,--,7,109,0.665,"2,521",218,7,225,"2,297",0.911,4985:41,2.71,2.74,5,"2,686",268,"1,767","1,179",779,855
Washington Capitals,20172018,82,49,26,--,7,105,0.64,"2,613",226,12,238,"2,375",0.909,4975:06,2.87,2.9,3,"2,379",256,"1,784","1,220",882,592
Winnipeg Jets,20172018,82,52,20,--,10,114,0.695,"2,613",212,4,216,"2,397",0.917,4982:11,2.6,2.63,7,"2,643",273,"1,831","1,240",831,589
Anaheim Ducks,20162017,82,46,23,--,13,105,0.64,"2,429",192,5,197,"2,232",0.919,4979:47,2.37,2.4,8,"2,425",220,"2,146","1,148",766,411
Arizona Coyotes,20162017,82,30,42,--,10,70,0.427,"2,797",246,12,258,"2,539",0.908,4985:47,3.1,3.15,3,"2,281",191,"2,098","1,215",607,403
Boston Bruins,20162017,82,44,31,--,7,95,0.579,"2,194",201,8,209,"1,985",0.905,4964:07,2.53,2.55,8,"2,721",232,"1,776","1,094",711,616
Buffalo Sabres,20162017,82,33,37,--,12,78,0.476,"2,813",221,10,231,"2,582",0.918,4984:51,2.78,2.82,3,"2,491",199,"1,872","1,121",626,475
Calgary Flames,20162017,82,45,33,--,4,94,0.573,"2,354",210,9,219,"2,135",0.907,4973:56,2.64,2.67,5,"2,388",222,"1,550","1,111",805,644
Carolina Hurricanes,20162017,82,36,31,--,15,87,0.53,"2,320",222,8,230,"2,090",0.901,4993:04,2.76,2.8,3,"2,493",212,"1,611","1,062",786,842
Chicago Blackhawks,20162017,82,50,23,--,9,109,0.665,"2,574",205,7,212,"2,363",0.918,4979:59,2.55,2.59,4,"2,508",240,"1,178","1,225",776,601
Colorado Avalanche,20162017,82,22,56,--,4,48,0.293,"2,603",261,15,276,"2,327",0.894,4953:47,3.34,3.37,3,"2,303",165,"1,687","1,076",567,598
Columbus Blue Jackets,20162017,82,50,24,--,8,108,0.659,"2,489",184,9,193,"2,296",0.922,4969:41,2.33,2.35,8,"2,540",247,"1,654","1,179",536,517
Dallas Stars,20162017,82,34,37,--,11,79,0.482,"2,439",246,14,260,"2,180",0.894,4960:07,3.15,3.17,3,"2,505",222,"1,552","1,330",789,531
Detroit Red Wings,20162017,82,33,36,--,13,79,0.482,"2,507",235,9,244,"2,264",0.903,5018:34,2.92,2.98,4,"2,335",198,"1,644","1,066",669,432
Edmonton Oilers,20162017,82,47,26,--,9,103,0.628,"2,416",199,8,207,"2,210",0.915,4991:05,2.49,2.52,7,"2,547",243,"2,073","1,294",948,625
Florida Panthers,20162017,82,35,36,--,11,81,0.494,"2,595",220,11,231,"2,364",0.911,5007:26,2.77,2.82,4,"2,644",205,"1,665",919,786,643
Los Angeles Kings,20162017,82,39,35,--,8,86,0.524,"2,120",186,15,201,"1,919",0.905,4978:29,2.42,2.45,9,"2,553",199,"2,323","1,077",728,317
Minnesota Wild,20162017,82,49,25,--,8,106,0.646,"2,465",199,7,206,"2,259",0.916,4967:23,2.49,2.51,5,"2,527",263,"1,284","1,161",500,523
Montréal Canadiens,20162017,82,47,26,--,9,103,0.628,"2,429",191,7,198,"2,231",0.918,4987:22,2.38,2.41,5,"2,459",223,"1,864","1,213",933,531
Nashville Predators,20162017,82,41,29,--,12,94,0.573,"2,472",205,15,220,"2,253",0.911,4985:45,2.65,2.68,4,"2,557",238,"1,660","1,110",698,556
New Jersey Devils,20162017,82,28,40,--,14,70,0.427,"2,572",228,13,241,"2,331",0.906,4987:36,2.9,2.94,3,"2,279",180,"1,661","1,030",624,467
New York Islanders,20162017,82,41,29,--,12,94,0.573,"2,616",231,7,238,"2,378",0.909,4978:37,2.87,2.9,5,"2,480",239,"2,126","1,363",808,569
New York Rangers,20162017,82,48,28,--,6,102,0.622,"2,465",211,5,216,"2,249",0.912,4974:14,2.61,2.63,7,"2,438",253,"1,715","1,244",859,647
Ottawa Senators,20162017,82,44,28,--,10,98,0.598,"2,467",206,4,210,"2,257",0.915,4993:57,2.52,2.56,10,"2,463",206,"2,114","1,352",791,537
Philadelphia Flyers,20162017,82,39,33,--,10,88,0.537,"2,334",220,11,231,"2,103",0.901,5007:42,2.77,2.82,5,"2,585",212,"2,063","1,309",736,427
Pittsburgh Penguins,20162017,82,50,21,--,11,111,0.677,"2,671",221,8,229,"2,442",0.914,4989:50,2.75,2.79,5,"2,745",278,"2,060","1,307",658,532
San Jose Sharks,20162017,82,46,29,--,7,99,0.604,"2,269",189,11,200,"2,069",0.912,4955:56,2.42,2.44,3,"2,453",219,"1,539","1,359","1,082",658
St. Louis Blues,20162017,82,46,29,--,7,99,0.604,"2,327",201,15,216,"2,111",0.907,4964:39,2.61,2.63,8,"2,330",233,"1,688","1,135",431,519
Tampa Bay Lightning,20162017,82,42,30,--,10,94,0.573,"2,492",213,11,224,"2,268",0.91,4988:08,2.69,2.73,3,"2,452",230,"1,842","1,014",710,502
Toronto Maple Leafs,20162017,82,40,27,--,15,95,0.579,"2,673",227,7,234,"2,439",0.912,4991:41,2.81,2.85,5,"2,617",250,"1,936","1,166",821,732
Vancouver Canucks,20162017,82,30,43,--,9,69,0.421,"2,605",225,16,241,"2,366",0.908,4979:33,2.9,2.94,3,"2,273",178,"1,471","1,034",587,503
Washington Capitals,20162017,82,55,19,--,8,118,0.72,"2,282",170,7,177,"2,105",0.922,4973:09,2.14,2.16,12,"2,495",261,"1,727","1,102",853,643
Winnipeg Jets,20162017,82,40,35,--,7,87,0.53,"2,546",243,12,255,"2,291",0.9,4964:50,3.08,3.11,5,"2,448",246,"1,906","1,177",769,592